# Section: Map of shellfish aquaculture in British Columbia
# Caption: Shellfish aquaculture facilities in British Columbia
# Rows: 462
"Facility reference number","Licence type","Licence holder","Facility common names","Latitude","Longitude"
"85","Shellfish facility","South Manson's Shellfish Incorporated","Mansons Landing, Cortes Island","50.06072","-124.99225"
"86","Shellfish facility","Taylor Shellfish Canada ULC","North of Mud Bay, Baynes Sound","49.47626","-124.79135"
"87","Shellfish facility","Block 421 Shellfish Ltd.","Mud Bay, Baynes Sound","49.47915","-124.79183"
"88","Shellfish facility","David Geoffrey Nikleva","Gorge Harbour, Cortes Island","50.09915","-125.01474"
"89","Shellfish facility","Lagoon Island Mariculture Ltd.","Lemmens Inlet, Lagoon Island","49.20366","-125.87756"
"90","Shellfish facility","Katherine Mclaggan, Stuart Victor Mclaggan and Sonya Friesen","Gorge Harbour, Cortes Island","50.09089","-124.98720"
"91","Shellfish facility","Taylor Shellfish Canada ULC","Deep Bay, Baynes Sound","49.46529","-124.75628"
"92","Shellfish facility","Taylor Shellfish Canada ULC","Deep Bay, Baynes Sound","49.46656","-124.75997"
"93","Shellfish facility","Taylor Shellfish Canada ULC","Deep Bay, Baynes Sound","49.46646","-124.76360"
"94","Shellfish facility","Taylor Shellfish Canada ULC","Deep Bay, Baynes Sound","49.46927","-124.76991"
"97","Shellfish facility","Pacific Northwest Shellfish Company Ltd.","Fanny Bay, Baynes Sound","49.50581","-124.82511"
"98","Shellfish facility","0864245 BC Ltd","Squirrel Cove, Cortes Island","50.11807","-124.90863"
"101","Shellfish facility","Madrona Shellfish Ltd.","Nanoose Bay","49.26940","-124.17365"
"102","Shellfish facility","DIA Technologies Inc.","Agamemnon Channel","49.70571","-124.05378"
"104","Shellfish facility","Julia Dawn Mitchell","Heron Bay, Lasqueti Island","49.50313","-124.25279"
"105","Shellfish facility","Storm Bay Shellfish Co. Ltd.","Sechelt Inlet","49.65653","-123.81989"
"109","Shellfish facility","Hadden And Sons Shellfish Ltd.","Denman Island, Baynes Sound","49.54870","-124.83972"
"110","Shellfish facility","Linda M. Carlson and Clay S. Carlson","Salalicum Pass, Open Bay, Quadra Island","50.14045","-125.18895"
"113","Shellfish facility","Mac's Oysters Ltd.","Metcalf Bay","49.49838","-124.76650"
"115","Shellfish facility","Fred Stern","Townley Islands, Malaspina Peninsula","50.02395","-124.83944"
"117","Shellfish facility","Lawrence Douglas Mc Donald","Marble Cove","48.91396","-125.10794"
"118","Shellfish facility","Travis Hesketh and Cory Hesketh","Denman Island, Baynes Sound","49.48572","-124.75270"
"120","Shellfish facility","Sand Dollar Oyster Ltd.","Denman Island, Baynes Sound","49.50947","-124.77946"
"121","Shellfish facility","Island Shellfish Ltd.","Denman Island, Baynes Sound","49.51825","-124.79541"
"122","Shellfish facility","Bonne Le, Chi Thi Bich (Betsy) Le and Tuan Anh Le","Denman Island, Baynes Sound","49.47528","-124.69129"
"124","Shellfish facility","Ronald O. Block","Gorge Harbour, Cortes Island","50.10160","-125.03285"
"126","Shellfish facility","Ronald O. Block","Cat Islands, SW Cortes Island","50.07241","-124.99067"
"127","Shellfish facility","Lorindale Holdings Ltd.","Deep Bay, Baynes Sound","49.45875","-124.73807"
"128","Shellfish facility","Lorindale Holdings Ltd.","Deep Bay, Baynes Sound","49.46040","-124.75062"
"129","Shellfish facility","Bruce C. Cook","Deep Bay, Baynes Sound","49.45712","-124.73808"
"131","Shellfish facility","Hadden And Sons Shellfish Ltd. and Tran Giadinh Holdings Ltd.","Denman Island, Baynes Sound","49.55915","-124.84211"
"132","Shellfish facility","Jin Xian Huang, Van Dong Hang and Halong Oysters Ltd","Denman Island, Baynes Sound","49.55755","-124.84320"
"133","Shellfish facility","Taylor Shellfish Canada ULC","Denman Island, Baynes Sound","49.56199","-124.84268"
"134","Shellfish facility","State Of The Art Systems Corporation","Hornby Island","49.53369","-124.71188"
"135","Shellfish facility","James McElwain","Ship's Point, Baynes Sound","49.49724","-124.79111"
"146","Shellfish facility","Mac's Oysters Ltd.","St. Vincent Bay, Sykes Island","49.81093","-124.08203"
"160","Shellfish facility","Ristol Seafarms Ltd.","Sechelt Inlet","49.58115","-123.78374"
"164","Shellfish hatchery","Island Scallops Ltd.","Island Scallops Hatchery","49.39128","-124.60150"
"174","Shellfish facility","David Hamoline","Malaspina Inlet","50.06045","-124.80426"
"175","Shellfish facility","Russell Patenaude","Okeover Inlet","50.01226","-124.70833"
"185","Shellfish facility","David Geoffrey Nikleva","Gorge Harbour, Cortes Island","50.08982","-125.01206"
"186","Shellfish facility","Hoskyns Oysters Ltd.","Dunsterville Bay","50.14731","-125.14822"
"187","Shellfish facility","Lannie Keller","Fronting DL 20, N. Evans Bay, Read Is.","50.21907","-125.06738"
"188","Shellfish facility","Taylor Shellfish Canada ULC","Thors Cove, Lancelot Inlet","50.05706","-124.70615"
"189","Shellfish facility","Huu-ay-aht First Nation","Trevor Channel, Barkley Sound","48.87796","-125.08613"
"191","Shellfish facility","Pacific Northwest Shellfish Company Ltd.","Malaspina Inlet","50.04937","-124.78582"
"194","Shellfish facility","Stuart Victor Mclaggan and M. Levesque","Shark Spit, Marina Island","50.08832","-125.05067"
"195","Shellfish facility","Huan Dan Investor","Carrington Bay, Cortes Island","50.14618","-125.02158"
"196","Shellfish facility","Tien Xuan Phuong and Kim Thi Pham","Frederic Point, Read Island","50.18517","-125.04470"
"197","Shellfish facility","Island Sea Farms Inc.","Evans Bay, Read Island","50.20484","-125.07579"
"204","Shellfish facility","Doug Wright","Denman Island, Baynes Sound","49.55602","-124.84632"
"205","Shellfish facility","Doug Wright","Denman Island, Baynes Sound","49.55169","-124.84281"
"212","Shellfish facility","Judy Hicks","Okeover Inlet","50.01777","-124.71096"
"213","Shellfish facility","Tuan Van Tran","Useless Inlet, Barkley Sound","48.98607","-125.05705"
"238","Shellfish facility","Wood Island's Legacy","Wood Islets, Mosquito Hbr., Fortune Ch.","49.19362","-125.78632"
"239","Shellfish facility","Wood Island's Legacy","Mosquito Harbour, Meares Island","49.19162","-125.79546"
"240","Shellfish facility","Red Star Seafoods Ltd.","Lancelot Inlet","50.04466","-124.70896"
"241","Shellfish facility","Heike Tomaino","Lemmens Inlet, Meares Island","49.21053","-125.86157"
"250","Shellfish facility","Han Duc Tran and Dung Thi Dau","Metcalf Bay, Baynes Sound","49.50454","-124.77121"
"254","Shellfish facility","Oyster Bros Ventures","NE Nelson Island, Jervis Inlet","49.78066","-124.04069"
"256","Shellfish facility","Joyce Hope","Gorge Harbour, Cortes Island","50.09481","-125.01085"
"258","Shellfish facility","James Edward Spalding","Useless Inlet, Barkley Sound","48.99790","-125.04783"
"259","Shellfish facility","Jesse Kurt Broten","Lemmens Inlet, Meares Island","49.19021","-125.88800"
"261","Shellfish facility","Mac's Oysters Ltd.","Dark Cove, Jervis Inlet","49.81624","-123.95025"
"265","Shellfish facility","1298272 B.C. LTD.","Hotham Sound","49.85346","-124.05550"
"272","Shellfish facility","Mary Huong Hoang, Hien Thuy Le, Thanh Thi Le, Han Hoan Dong, Nang Thang Ngo, Van Tien  Ngo and Dai Thi Trang Tran","Fanny Bay, Baynes Sound","49.50410","-124.81816"
"277","Shellfish facility","Han Duc Tran and Dung Thi Dau","Denman Island, Baynes Sound","49.57799","-124.84034"
"278","Shellfish facility","Pacific Northwest Shellfish Company Ltd.","Denman Island, Baynes Sound","49.52954","-124.81310"
"279","Shellfish facility","Fred Stern","Malaspina Peninsula, North of Turner Bay","50.04942","-124.83477"
"280","Shellfish facility","Malcolm Hugh McDonald","Lancelot Inlet","50.05038","-124.70981"
"281","Shellfish facility","Andre Comeau and Chris Roberts","West Side of Okeover Inlet","49.97256","-124.68900"
"282","Shellfish facility","Robert Langley","Okeover Inlet","49.97819","-124.68369"
"288","Shellfish facility","Jilane Kariatsumari","NW Lemmens Inlet, Meares Island","49.21162","-125.88632"
"295","Shellfish facility","Klahoose Shellfish Limited Partnership","Squirrel Cove","50.12286","-124.91924"
"296","Shellfish facility","C AND C SHELLFISH COMPANY LTD.","Fanny Bay, Baynes Sound","49.48076","-124.79289"
"298","Shellfish facility","Phat Fanny Oyster Farm Ltd.","Denman Island, N. of Repulse Point, Baynes Sound","49.48432","-124.74907"
"299","Shellfish facility","Little Wing Oysters Ltd.","Coode Peninsula, Okeover Inlet","50.01989","-124.72946"
"316","Shellfish facility","Canadian Benthic Limited","Roquefeuil Bay, Barkley Sound","48.85050","-125.11262"
"320","Shellfish facility","Canadian Benthic Limited","Roquefeuil Bay","48.85414","-125.11195"
"321","Shellfish facility","Richard Steed","Useless Inlet, Barkley Sound","48.97806","-125.07571"
"323","Shellfish facility","377331 British Columbia Ltd.","North of Denman Point, Denman Island, Baynes Sound","49.57141","-124.85053"
"324","Shellfish facility","377332 British Columbia Ltd.","SW Mussel Rock, Cypress Bay","49.26331","-125.87612"
"327","Shellfish facility","Theodosia Seafoods Inc.","SW Theodosia Inlet","50.06547","-124.69587"
"328","Shellfish facility","Nor-Pac Oysters Incorporated","Vanguard Bay, Nelson Island","49.75050","-124.09750"
"330","Shellfish facility","British Coastal Bi Valve + Ltd","Malaspina Inlet","50.03958","-124.76917"
"343","Shellfish facility","Ammy Chui, Keith Chui, Huan Zhang and Jia Tian","Denman Island, Baynes Sound","49.48137","-124.73551"
"345","Shellfish facility","Cooper's Cove Oyster Farm Ltd.","Billings Spit, Sooke Harbour","48.38071","-123.70138"
"347","Shellfish facility","Pacific Northwest Shellfish Company Ltd.","Trevenen Bay, Malaspina Inlet","50.03377","-124.76242"
"348","Shellfish facility","Coode Island Oyster Farms Ltd.","Coode Island, Trevenen Bay","50.02489","-124.74086"
"360","Shellfish facility","Bruce Dryden","Stuart Channel, Coffin Point","48.98992","-123.76025"
"365","Shellfish facility","Taylor Shellfish Canada ULC","Okeover Inlet","50.02062","-124.73707"
"366","Shellfish facility","Taylor Shellfish Canada ULC","Waddington Channel","50.26356","-124.79062"
"367","Shellfish facility","Taylor Shellfish Canada ULC","Allies Island, Waddington Channel","50.22168","-124.81821"
"368","Shellfish facility","Taylor Shellfish Canada ULC","NW Shore Allies Island, Waddington Ch.","50.21654","-124.81129"
"371","Shellfish facility","Taylor Shellfish Canada ULC","West Side Allies Island","50.21210","-124.81342"
"397","Shellfish facility","Imperial Eagle Clam Company Ltd.","Sechart Channel","48.95398","-125.24976"
"403","Shellfish facility","Comfort Cove Shellfish Ltd.","N. Tuwanek Point, E. Sechelt Inlet","49.56603","-123.78195"
"415","Shellfish facility","Kilo Sea Farm Ltd.","Thors Cove, Lancelot Inlet","50.06065","-124.70469"
"438","Shellfish facility","Alan Schmidt and Eunice Schmidt","Lambert Channel","49.53989","-124.75333"
"439","Shellfish facility","Alan Schmidt","Lambert Channel, Denman Island","49.53789","-124.75262"
"441","Shellfish facility","Tony Paul Bishop","Effingham Inlet","49.01172","-125.16249"
"453","Shellfish facility","Taylor Shellfish Canada ULC","West of Coode Isl., NW Trevenen Bay","50.02942","-124.74736"
"461","Shellfish facility","Ry Huynh","Denman Island, Baynes Sound","49.51490","-124.78870"
"484","Shellfish facility","Effingham Oysters Inc","Effingham Inlet","49.01735","-125.17419"
"489","Shellfish facility","Beulah Island Oyster Company Ltd.","Parker Harbour, Malaspina Inlet","50.05628","-124.79581"
"490","Shellfish facility","Odyssey Shellfish Ltd.","Deep Bay, Baynes Sound","49.45811","-124.74655"
"493","Shellfish facility","Ristol Seafarms Ltd.","Sechelt Inlet","49.56800","-123.78294"
"494","Shellfish facility","D. Ritchie Holdings Ltd.","Douglas Bay, Uganda Passage, Cortes Is.","50.09612","-125.03885"
"496","Shellfish facility","Taylor Shellfish Canada ULC","Refuge Cove, West Redonda Island","50.12295","-124.84904"
"497","Shellfish facility","Lucky 2's Oyster Co. Ltd","Joyce Point, West Redonda Island","50.17168","-124.90115"
"499","Shellfish facility","Delia Becker","Lewis Channel","50.18010","-124.92683"
"501","Shellfish facility","Taylor Shellfish Canada ULC","Martin Islands, Desolation Sound","50.11275","-124.81853"
"502","Shellfish facility","Taylor Shellfish Canada ULC","Desolation Sound","50.11297","-124.83101"
"503","Shellfish facility","Taylor Shellfish Canada ULC","Refuge Cove","50.12625","-124.84526"
"515","Shellfish facility","Gary Wick and Allan Morrison","Anderson Cove, Sooke Basin","48.35998","-123.65295"
"518","Shellfish facility","Mac's Oysters Ltd.","Heriot Bay, Quadra Island","50.10984","-125.21802"
"519","Shellfish facility","Pamela McLellan and Gordon McLellan Sr.","Ships Point, Littles Bay","49.48863","-124.79273"
"521","Shellfish facility","Mac's Oysters Ltd.","Base Flats, Baynes Sound","49.51990","-124.82522"
"522","Shellfish facility","Mac's Oysters Ltd.","Baynes Sound","49.52597","-124.83641"
"523","Shellfish facility","Mac's Oysters Ltd.","Baynes Sound","49.52334","-124.82817"
"525","Shellfish facility","Mac's Oysters Ltd.","North of Fanny Bay, Baynes Sound","49.50784","-124.82852"
"528","Shellfish facility","Mac's Oysters Ltd.","Fanny Bay","49.51219","-124.82796"
"529","Shellfish facility","Mac's Oysters Ltd.","Baynes Sound","49.51545","-124.82586"
"530","Shellfish facility","Mac's Oysters Ltd.","Baynes Sound","49.48939","-124.79040"
"531","Shellfish facility","Mac's Oysters Ltd.","Ships Point","49.49034","-124.79299"
"532","Shellfish facility","Mac's Oysters Ltd.","Ships Pt","49.49029","-124.78874"
"533","Shellfish facility","Mac's Oysters Ltd.","Mystery Beach & Eagle Point","49.54167","-124.86161"
"534","Shellfish facility","Mac's Oysters Ltd.","Buckley Bay","49.52845","-124.85065"
"535","Shellfish facility","Mac's Oysters Ltd.","Berray Beach, Baynes Sound","49.46968","-124.77136"
"536","Shellfish facility","Mac's Oysters Ltd.","Ships Point, Baynes Sound","49.49497","-124.79033"
"545","Shellfish facility","Taylor Shellfish Canada ULC","Denman Island, Baynes Sound","49.51406","-124.78948"
"711","Shellfish facility","Limberis Seafoods Ltd.","Lot 119, Inner Ladysmith Harbour","49.01508","-123.83825"
"712","Shellfish facility","Limberis Seafoods Ltd.","Ladysmith Harbour, Sibell Bay","48.98488","-123.77469"
"713","Shellfish facility","Limberis Seafoods Ltd.","Davis Lagoon, Ladysmith Harbour","48.96572","-123.77301"
"716","Shellfish facility","Limberis Seafoods Ltd.","Ladysmith Harbour","48.98288","-123.80103"
"717","Shellfish facility","Limberis Seafoods Ltd.","Houston Passage, Saltspring Island","48.93149","-123.56558"
"718","Shellfish facility","Limberis Seafoods Ltd.","Preedy Harbour, Thetis Island","48.97151","-123.67402"
"719","Shellfish facility","Limberis Seafoods Ltd.","Lot 288, Preedy Harbour","48.98035","-123.68541"
"722","Shellfish facility","Limberis Seafoods Ltd.","Lot 267, North Cove, Thetis Island","49.00814","-123.68081"
"723","Shellfish facility","Limberis Seafoods Ltd.","Lot 41, North Cove, Thetis Island","49.01167","-123.68434"
"724","Shellfish facility","Limberis Seafoods Ltd.","Lot 322, North Cove, Thetis Island","49.01225","-123.68398"
"727","Shellfish facility","Miss Sunshine Oysters Ltd.","Vanguard Bay, Nelson Island","49.75105","-124.10406"
"729","Shellfish facility","Musgrave Shellfish Company Ltd.","Sansum Narrows, Bold Bluff","48.77454","-123.54944"
"753","Shellfish facility","Maaqutusiis Hahoulthee Stewardship Society","Cormorant","49.25719","-125.92441"
"756","Shellfish facility","BC Pacific Oysters Ltd.","Hardy Island, Jervis Inlet","49.75106","-124.18671"
"763","Shellfish facility","Comox Shellfish Ltd.","Deep Bay, Cook Creek","49.46245","-124.74978"
"764","Shellfish facility","New Growth Shellfish Company Ltd.","1 km North of Mary Point, Cortes Island","50.06632","-124.88079"
"774","Shellfish facility","Alex R. Munro and Shannon L. Munro","San Mateo Bay","48.94044","-124.98711"
"779","Shellfish facility","Maplestar Seafood Ltd.","Nanoose Bay","49.25901","-124.17557"
"780","Shellfish facility","Islanders Eco Service Ltd.","Burdwood Bay, Steamboat Island","50.15884","-125.09564"
"781","Shellfish facility","Hung Van Dui","Mud Bay, Baynes Sound","49.47359","-124.78995"
"805","Shellfish facility","Tiber Bay Holdings Ltd.","Tiber Bay, N Mary Point","50.06962","-124.88794"
"816","Shellfish facility","Jin Lai Holdings Inc.","Ship's Point, Baynes Sound","49.49328","-124.78994"
"832","Shellfish facility","9-Mile Island Enterprises Inc.","9-Mile Point, Sechelt Inlet","49.59922","-123.78797"
"838","Shellfish facility","Maria Killins, Brian Killins and John Greig","Lemmens Inlet, Meares Island","49.22307","-125.85537"
"840","Shellfish facility","Sara E. De Rose and Tim Paul John Coertze","W Hornby Island, Lambert Channel","49.52689","-124.70955"
"841","Shellfish facility","Marcel Cyr, Nick Vandermolen and Sandra Vandermolen","NE Effingham Inlet","49.08011","-125.16533"
"842","Shellfish facility","Taylor Shellfish Canada ULC","Okeover Inlet","50.02408","-124.71624"
"843","Shellfish facility","Mac's Oysters Ltd.","Hyacinthe Bay","50.11221","-125.21737"
"845","Shellfish facility","Walter Belobaba and Joan Barbara Belobaba","Silverado Creek, King Passage","49.63062","-126.37176"
"846","Shellfish facility","Yves Page","White Rock Passage, Read Island","50.25770","-125.08868"
"847","Shellfish facility","Island Sea Farms Inc.","Gorge Harbour, Cortes Island","50.09447","-124.98969"
"849","Shellfish facility","Rocky Island Shellfish Co. Ltd.","Hyacinthe Bay, Quadra Island","50.11890","-125.22794"
"851","Shellfish facility","David Geoffrey Nikleva","Gorge Harbour, Cortes Island","50.09918","-125.01768"
"880","Shellfish facility","Joseph McLellan","Nanoose Bay","49.26417","-124.17556"
"882","Shellfish facility","Northwest Aquaculture Ltd.","Effingham Inlet","49.02278","-125.14984"
"891","Shellfish facility","Timothy Oyster Co. Ltd.","Dayman Island","48.97349","-123.69148"
"894","Shellfish facility","David Geoffrey Nikleva","Gorge Harbour, Cortes Island","50.10028","-125.02625"
"895","Shellfish facility","Imperial Eagle Clam Company Ltd.","Useless Inlet, Barkley Sound","48.99646","-125.05129"
"897","Shellfish facility","Aphrodite's Garden Oyster Company","Trevenen Bay, Okeover Inlet","50.00952","-124.72608"
"898","Shellfish facility","Garth Walton, Alex Nicholl and Martha Cripps","Cortes Island","50.08759","-125.02199"
"899","Shellfish facility","Bold Point Shellfish Company Ltd.","Quadra Island, Crescent Channel","50.16777","-125.17043"
"900","Shellfish facility","Bold Point Shellfish Company Ltd.","Quadra Island, Cresent Channel","50.16958","-125.16609"
"902","Shellfish facility","Truong Tran, Thuan Tran and Trung Tran","Denman Island, N of Repulse Point, Baynes Sound","49.48298","-124.74332"
"903","Shellfish facility","Evening Cove Oysters Ltd.","Booth Bay, Saltspring Island","48.86914","-123.55518"
"909","Shellfish facility","Bee Islets Growers Corp.","Bee Islets, Cortes Island","50.09569","-125.01825"
"912","Shellfish facility","Sailor Johnson","False Bay, Lasqueti Island","49.48467","-124.35168"
"914","Shellfish facility","Sailor Johnson","Lasqueti Island, Johnson's Lagoon","49.48177","-124.35530"
"915","Shellfish facility","Timothy Oyster Co. Ltd.","Coffin Point, Stuart Channel","48.98927","-123.75933"
"916","Shellfish facility","Timothy Oyster Co. Ltd.","Degnen Bay, Gabriola Island","49.13332","-123.71715"
"922","Shellfish facility","Ronald O. Block and Gary Block","Squirrel Cove, Cortes Island","50.11281","-124.90540"
"923","Shellfish facility","Gregory Kay Williams","Sansum Narrows, North Cowichan","48.78882","-123.56409"
"926","Shellfish facility","Harmony Seafoods Ltd.","Goliath Bay","49.82556","-123.95738"
"927","Shellfish facility","Harmony Seafoods Ltd.","Granville Bay","49.83672","-123.99548"
"928","Shellfish facility","Brent Petkau","West of Shark Spit, Marina Island","50.08653","-125.05583"
"931","Shellfish facility","Island Sea Farms Inc.","Gorge Harbour, Cortes Island","50.09910","-124.98287"
"935","Shellfish facility","Charles Cecil Robinson","Whaletown Bay","50.10987","-125.04954"
"936","Shellfish facility","Island Sea Farms Inc.","Stove Island","50.09982","-125.00543"
"939","Shellfish facility","S & J Fishing Ltd.","Lasqueti Island","49.51864","-124.34757"
"940","Shellfish facility","Joseph McLellan","Nanoose Bay","49.26742","-124.17986"
"945","Shellfish facility","Effingham Oysters Inc","San Mateo Bay","48.93778","-124.98433"
"952","Shellfish facility","Nova Harvest Ltd.","Dixon Island","48.85219","-125.11690"
"958","Shellfish facility","Stephen Nikleva","Gorge Harbour, Cortes Island","50.08775","-125.00694"
"961","Shellfish facility","1302820 B.C. LTD.","Scottie Bay, Lasqueti Island","49.51872","-124.33997"
"962","Shellfish facility","Taylor Shellfish Canada ULC","Henry Bay, Denman Island, Baynes Sound","49.58326","-124.84233"
"963","Shellfish facility","Taylor Shellfish Canada ULC","Baynes Sound","49.47986","-124.78389"
"964","Shellfish facility","Taylor Shellfish Canada ULC","Fanny Bay, Baynes Sound","49.50461","-124.80384"
"965","Shellfish facility","Taylor Shellfish Canada ULC","Baynes Sound","49.50215","-124.79978"
"968","Shellfish facility","Baynes Sound Oyster Co. Ltd.","Baynes Sound","49.57020","-124.87764"
"975","Shellfish facility","Casanova Seafoods Inc.","Sproat Bay","48.90379","-125.08019"
"976","Shellfish facility","David Kulhawy","Tzartus Island, Sproat Bay","48.90728","-125.07934"
"977","Shellfish facility","Sawmill Bay Shellfish Company Ltd.","Evans Bay, Read Island","50.19761","-125.06354"
"985","Shellfish facility","Sea Spray Aquaculture Ltd.","Espinosa Inlet, Nootka Sound","49.93967","-126.91724"
"986","Shellfish facility","Sea Spray Aquaculture Ltd.","Little Espinosa Inlet","49.95527","-126.91147"
"987","Shellfish facility","Mink Island Holding Company, Inc.","Mink Island, Desolation Sound","50.10641","-124.75679"
"989","Shellfish facility","Island Sea Farms Inc.","Gorge Harbour, Cortes Island","50.09772","-124.98471"
"991","Shellfish facility","Baynes Sound Oyster Co. Ltd.","Henry Bay, Baynes Sound","49.58780","-124.83980"
"992","Shellfish facility","Bonne Le, Ai Thuy Tran and Tuan Anh Le","Comox Harbour, Baynes Sound","49.60943","-124.89836"
